スーパーマリオ 64 (SM64) Beta Revival,Alpha Test,MrIsan1,,,スーパーマリオ 64 Beta Revival Alpha-Test SM64 Hack by Mrlsan1,
Mario Pissing 64,Early Access Release,blakeoramo,0,,Mario Pissing 64,
Mario Pissing 64,Final,blakeoramo,0,,Mario Pissing 64 Final,
Mario Raceway,1.0,MsSupermario65,,,Mario raceway V1.0 - MsSuperMario65,
Mario the Superstar Plumber,Beta,BaconBoy,,,Mario the Superstar Plumber Beta,
Mario vs Bowser,1.0,(Chrisif15?),,,Mario Vs. Bowser,
Mario X Luigi 18+,1.0,Toony,3,,Mario X Luigi 18+,
Mario's Amazing Adventures,Demo,Frame4Head,11,,Marios amazing adventures 11 stars,
Mario's Best Dream,Demo,Isurvolte,,,Marios Best Dream Demo,
Mario's Candy Quest,1.0,YoshiMilkman,7,2019-10-29,Marios Candy Quest,SimpleFlips Competition 10
Mario's Future,Demo Francais,Sanji02,,,Marios Future - Demo Fre,
Mario's House (by VirtualBlock),1.0,VirtualBlock,,,Marios House,
Mario's House (by Tomatobird8),1.0,Tomatobird8,0,,Marios house v1.0,
Mario's Little Odyssey,1.0,Kaze,19,,Marios Little Odyssey,
Mario's Mansion,1.0,Kaze,1,2018-11-03,Marios Mansion,SimpleFlips Competition 3
Mario's Maze Adventure,1.0,Galacta,13,,Marios Maze Adventure,
Mario's Nightmare 64,1.0?,Apioeus,,2012-07-26,Marios Nightmare 64 POSSIBLE v1.0 [T+Eng_Eggs6131],
Mario's Nightmare 64,Demo 0.37.1 Deutsch,Apioeus,,,Marios Nightmare 64 v0.37.1 Demo Ger,
Mario's Nightmare 64,1.0.2 English,Apioeus,140,2012-07-26,Marios Nightmare 64 v1.0.2 [T+Eng_Eggs6131],
Mario's Nightmare 64,1.0 Deutsch,Apioeus,140,2012-07-26,Marios Nightmare 64 v1.0 Deu,
Mario's Nightmare 64,1.1.1 Deutsch,Apioeus,140,2012-07-26,Marios Nightmare 64 v1.1.1 Ger,
Mario's Nightmare 64,1.1.1 English,Apioeus,140,2012-07-26,Marios Nightmare 64 v1.1.1 Ger [T+Eng_Eggs6131],
Mario's Nightmare 64,1.1 Deutsch,Apioeus,140,2012-07-26,Marios Nightmare 64 v1.1 Deu,
Mario's Nightmare 64,1.1 English,Apioeus,140,2012-07-26,Marios Nightmare 64 v1.1 [T+Eng_Eggs6131],
